cluster_id,gA,sA,wA,N,g_mean,g_min,s_mean,d_eve,mu,chi,beta_A,rate_opt,nfeas_opt
31,1.79941,0.116709,27.5019,3,1.78381,1.76978,0.116909,36.5176,0.95,1,1.6125,1.21037e+07,3
32,1.728,0.117639,27.7408,2,1.72602,1.72587,0.117665,40.3065,0.95,0.5,1.6125,8.76927e+06,2
33,1.72055,0.117738,27.7664,4,1.69075,1.66298,0.118144,34.6814,0.95,1,1.6125,1.45934e+07,4
34,1.78089,0.116946,27.5627,4,1.74866,1.72482,0.117366,37.7933,0.95,1,1.6125,1.49148e+07,4
35,1.67941,0.118297,27.9102,3,1.63891,1.62361,0.118865,25.6589,0.95,1,1.6125,1.11191e+07,3
36,1.76876,0.117103,27.603,4,1.71724,1.68043,0.117786,40.2738,0.95,1,1.6125,1.48177e+07,4
37,1.73639,0.117527,27.7121,3,1.69452,1.65963,0.118096,31.7107,0.95,1,1.6125,1.17229e+07,3
38,1.72129,0.117728,27.7639,4,1.71415,1.69811,0.117825,28.4457,0.95,1,1.6125,1.44141e+07,4
39,1.79896,0.116715,27.5034,4,1.77768,1.76611,0.116988,30.139,0.95,1,1.6125,1.48771e+07,4
40,1.73058,0.117604,27.732,2,1.63813,1.63775,0.118873,38.8758,0.95,0.5,1.6125,8.63091e+06,2
41,1.75644,0.117263,27.6443,4,1.73757,1.71243,0.117513,37.0689,0.95,1,1.6125,1.48176e+07,4
42,1.73938,0.117488,27.702,3,1.72297,1.70883,0.117707,23.8769,0.95,1,1.6125,1.11293e+07,3
43,1.78312,0.116918,27.5554,3,1.7295,1.71829,0.117619,33.726,0.95,1,1.6125,1.19343e+07,3
44,1.70724,0.117917,27.8125,3,1.66552,1.64216,0.11849,22.8044,0.95,1,1.6125,1.07683e+07,3
45,1.73439,0.117554,27.7189,3,1.70349,1.66883,0.117971,41.9402,0.95,1,1.6125,1.18125e+07,3
46,1.7686,0.117105,27.6036,3,1.75554,1.7228,0.117277,24.5472,0.95,1,1.6125,1.13557e+07,3
47,1.74948,0.117354,27.6677,3,1.74678,1.71953,0.117392,31.69,0.95,1,1.6125,1.18523e+07,3
48,1.79455,0.116771,27.5178,4,1.78051,1.75246,0.116952,29.2564,0.95,1,1.6125,1.48191e+07,4
